Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
энский	62	62	189	189	209	24.70	24.70	37.13	37.13	0.06	0.15	0.06	0.06	1.02	2.46	0.30	0.00	0.67	0.00
тыняться	163	163	20	20	111	89.07	89.07	95.32	95.32	0.03	0.03	0.03	0.00	1.01	21.71	0.00	0.00	0.00	0.00
выпадывать	87	87	73	72	163	54.38	54.72	65.41	65.91	0.07	0.07	0.06	0.07	1.13	1.00	0.33	0.28	0.51	0.50
мивина	504	504	66	66	326	88.42	88.42	92.14	92.14	0.08	0.08	0.08	0.08	0.99	0.99	0.01	0.01	1.00	1.00
Новоросс	57	57	190	189	227	23.08	23.17	31.32	31.49	0.14	0.22	0.14	0.10	0.97	2.27	0.27	0.00	0.50	0.00
курмыш	14	14	34	34	39	29.17	29.17	37.84	37.84	0.04	0.04	0.03	0.04	1.26	0.95	0.02	0.05	0.25	1.00
молзавод	30	28	33	28	55	47.62	50.00	54.55	58.33	0.05	0.01	0.05	0.01	0.95	1.22	0.47	0.00	0.46	0.00
каралька	27	27	23	23	53	54.00	54.00	62.79	62.79	0.04	0.06	0.04	0.00	0.94	168.61	0.35	0.00	0.56	0.00
подклад	534	534	1374	1369	1162	27.99	28.06	44.32	44.50	0.15	0.17	0.16	0.14	0.94	1.24	0.35	0.30	0.52	0.29
поребрик	1416	1410	1485	1482	2388	48.81	48.76	71.01	71.03	0.35	0.31	0.33	0.33	1.08	0.93	0.19	0.18	0.53	0.56
шкорки	10	10	19	19	29	34.48	34.48	55.56	55.56	0.02	0.02	0.02	0.00	0.93	37.08	0.20	0.00	0.50	0.00
газвода	39	39	70	70	96	35.78	35.78	46.43	46.43	0.03	0.03	0.03	0.01	0.93	3.83	0.38	0.00	0.49	0.00
хитник	8	8	34	34	37	19.05	19.05	29.63	29.63	0.02	0.02	0.02	0.00	0.90	11.31	0.10	0.00	1.00	0.00
деляна	59	55	102	102	117	36.65	35.03	41.55	39.86	0.17	0.16	0.08	0.18	2.25	0.90	0.22	0.36	0.50	0.50
помогайка	42	42	135	133	111	23.73	24.00	34.15	34.71	0.14	0.14	0.16	0.13	0.88	1.13	0.32	0.32	0.50	0.50
рыготать	19	19	7	7	26	73.08	73.08	86.36	86.36	0.01	0.00	0.01	0.00	0.88	inf	0.47	0.00	0.33	0.00
кугут	46	46	4	4	43	92.00	92.00	93.88	93.88	0.01	0.01	0.01	0.00	0.87	inf	0.23	0.00	0.75	0.00
байга	13	13	41	41	56	24.07	24.07	31.71	31.71	0.10	0.10	0.11	0.03	0.87	3.48	0.13	0.00	1.00	0.00
отпадывать	26	26	17	16	47	60.47	61.90	72.22	74.29	0.02	0.03	0.02	0.00	0.87	22.22	0.50	0.00	0.31	0.00
бусик	952	952	1194	1185	1581	44.36	44.55	61.42	61.78	0.27	0.27	0.33	0.22	0.83	1.22	0.40	0.27	0.69	0.68
Кёниг	374	374	1125	1122	1216	24.95	25.00	46.00	46.17	2.82	2.82	3.44	0.49	0.82	5.82	0.18	0.00	1.00	0.00
гирло	174	174	74	74	169	70.16	70.16	84.06	84.06	0.03	0.04	0.04	0.01	0.81	7.51	0.33	0.00	0.78	0.00
шаверма	1451	1450	1511	1506	2373	48.99	49.05	67.55	67.69	0.28	0.38	0.35	0.45	0.81	0.85	0.38	0.25	0.64	0.67
Челяба	249	249	310	308	454	44.54	44.70	56.33	56.59	0.32	0.32	0.40	0.21	0.80	1.49	0.45	0.20	0.67	0.44
аршан	26	26	899	896	529	2.81	2.82	3.67	3.68	1.26	1.26	1.59	1.49	0.79	0.85	0.51	0.51	0.75	0.50
толока	266	266	95	95	180	73.68	73.68	83.12	83.12	0.06	0.08	0.08	0.07	0.79	1.14	0.43	0.37	0.75	0.44
муль	22	22	1030	1024	1200	2.09	2.10	3.59	3.62	0.30	0.30	0.38	0.38	0.79	0.79	0.21	0.21	1.00	1.00
Севск	54	54	367	367	369	12.83	12.83	16.67	16.67	0.46	0.78	0.58	0.74	0.78	1.05	0.40	0.00	0.50	0.00
бадлон	222	222	104	104	225	68.10	68.10	86.05	86.05	0.09	0.09	0.11	0.11	0.78	0.78	0.22	0.22	1.00	1.00
крутка	23	23	371	369	314	5.84	5.87	10.09	10.18	0.11	0.11	0.14	0.08	0.78	1.35	0.22	0.00	1.00	0.00
сталинка	630	630	971	952	1130	39.35	39.82	61.34	62.50	0.09	0.11	0.11	0.07	0.77	1.63	0.49	0.19	0.34	0.28
ракушняк	104	104	14	14	73	88.14	88.14	92.04	92.04	0.02	0.02	0.02	0.00	0.76	33.24	0.24	0.00	1.00	0.00
ботсад	2163	2162	605	599	1916	78.14	78.30	68.93	69.12	0.27	0.36	0.36	0.36	0.76	0.99	0.44	0.32	0.67	0.55
поварёшка	404	404	856	854	1221	32.06	32.11	49.39	49.51	0.09	0.09	0.12	0.09	0.75	1.02	0.33	0.20	0.72	0.48
родова	12	12	174	173	117	6.45	6.49	7.74	7.79	0.07	0.06	0.09	0.06	0.75	1.01	0.35	0.00	0.75	0.00
Стерлик	19	19	84	84	51	18.45	18.45	24.05	24.05	0.11	0.11	0.16	0.16	0.72	0.72	0.28	0.28	1.00	1.00
пасочка	710	710	144	141	642	83.14	83.43	90.33	90.68	0.09	0.09	0.13	0.05	0.71	1.80	0.33	0.15	0.75	0.19
