Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
спадывать	29	29	27	27	60	51.79	51.79	56.86	56.86	0.59	0.65	0.53	0.00	1.12	247.21	0.20	0.00	0.60	0.00
тютина	26	26	200	200	490	11.50	11.50	17.11	17.11	2.21	2.21	1.98	0.46	1.12	4.83	0.00	0.00	0.00	0.00
хабазина	6	6	3	3	3	66.67	66.67	66.67	66.67	0.26	0.26	0.24	0.00	1.11	inf	0.00	0.00	0.00	0.00
шкорки	10	10	17	17	28	37.04	37.04	55.56	55.56	0.42	0.42	0.38	0.01	1.11	44.98	0.09	0.00	0.50	0.00
Симфер	193	193	80	80	187	70.70	70.70	88.13	88.13	0.63	0.63	0.58	0.11	1.09	5.59	0.00	0.00	0.00	0.00
кастрюльщик	8	8	2	2	6	80.00	80.00	80.00	80.00	0.74	0.74	0.68	0.00	1.09	inf	0.00	0.00	0.00	0.00
рясно	171	171	14	14	103	92.43	92.43	95.53	95.53	0.23	0.55	0.21	0.01	1.09	44.06	0.34	0.00	0.67	0.00
Ижик	8	8	34	33	15	19.05	19.51	33.33	34.78	2.29	2.29	2.13	0.04	1.08	60.76	0.00	0.00	0.00	0.00
свороток	74	74	79	79	89	48.37	48.37	58.27	58.27	2.54	2.54	2.37	0.27	1.07	9.33	0.22	0.00	0.50	0.00
выпадывать	81	81	66	65	145	55.10	55.48	65.85	66.39	1.28	1.22	1.22	0.87	1.05	1.41	0.35	0.25	0.52	0.38
пастик	8	8	16	16	38	33.33	33.33	47.06	47.06	1.19	2.13	1.15	0.02	1.04	129.78	0.43	0.00	0.25	0.00
насаться	25	25	23	23	32	52.08	52.08	67.57	67.57	0.90	1.17	0.89	0.01	1.01	152.83	0.42	0.00	0.50	0.00
кралька	8	8	3	3	50	72.73	72.73	72.73	72.73	0.22	0.26	0.22	0.00	1.00	inf	0.20	0.00	0.50	0.00
газвода	36	36	66	66	74	35.29	35.29	46.15	46.15	0.49	0.58	0.49	0.15	0.99	3.90	0.35	0.00	0.46	0.00
мульда	7	7	49	48	45	12.50	12.73	19.44	20.00	2.01	2.01	2.08	0.06	0.96	32.48	0.04	0.00	1.00	0.00
подклад	225	225	538	535	575	29.49	29.61	43.27	43.52	1.46	1.49	1.53	0.95	0.96	1.57	0.25	0.13	0.55	0.20
рабарбар	18	18	25	25	28	41.86	41.86	45.00	45.00	1.67	1.67	1.77	1.77	0.94	0.94	0.06	0.06	1.00	1.00
толока	122	122	54	54	91	69.32	69.32	80.26	80.26	0.56	0.66	0.60	0.02	0.94	39.17	0.28	0.00	0.75	0.00
альтфатер	10	10	23	23	45	30.30	30.30	40.00	40.00	0.92	0.92	0.99	0.02	0.93	54.91	0.07	0.00	1.00	0.00
гранчак	56	56	8	8	48	87.50	87.50	94.92	94.92	0.18	0.18	0.20	0.01	0.91	17.52	0.09	0.00	1.00	0.00
Семск	8	8	12	12	11	40.00	40.00	44.44	44.44	1.13	1.13	1.28	0.04	0.89	31.69	0.11	0.00	1.00	0.00
тэшка	43	43	43	43	65	50.00	50.00	63.24	63.24	0.53	0.53	0.60	0.03	0.88	17.35	0.34	0.00	0.75	0.00
рясный	44	44	29	29	80	60.27	60.27	74.58	74.58	0.30	0.11	0.35	0.03	0.86	3.69	0.40	0.00	0.67	0.00
Кёниг	141	141	575	573	658	19.69	19.75	34.56	34.73	21.11	21.11	25.00	2.29	0.84	9.22	0.16	0.00	1.00	0.00
отпадывать	24	24	15	14	44	61.54	63.16	72.73	75.00	0.38	0.57	0.46	0.01	0.82	90.22	0.51	0.00	0.33	0.00
тыняться	145	145	19	19	101	88.41	88.41	94.77	94.77	0.48	0.48	0.58	0.02	0.82	20.62	0.18	0.00	1.00	0.00
деляна	22	20	63	63	85	25.88	24.10	32.35	30.30	2.08	1.41	0.90	1.76	2.31	0.80	0.22	0.20	0.55	1.00
ботсад	1216	1215	323	320	1109	79.01	79.15	68.94	69.11	2.79	3.50	3.54	2.14	0.79	1.63	0.42	0.17	0.71	0.43
поребрик	1046	1044	1107	1105	1896	48.58	48.58	69.50	69.55	3.77	4.34	4.81	5.40	0.78	0.80	0.31	0.30	0.72	0.75
бусик	604	604	868	864	1121	41.03	41.14	57.63	57.85	3.54	3.23	4.59	2.31	0.77	1.39	0.39	0.20	0.64	0.56
рыготать	15	15	6	6	25	71.43	71.43	83.33	83.33	0.10	0.04	0.13	0.00	0.77	inf	0.52	0.00	0.33	0.00
Новоросс	37	37	128	127	152	22.42	22.56	32.46	32.74	1.65	3.05	2.16	1.44	0.77	2.11	0.43	0.00	0.50	0.00
помогайка	23	23	74	72	69	23.71	24.21	34.85	35.94	1.71	1.71	2.25	1.37	0.76	1.24	0.26	0.21	0.50	0.25
сотик	270	270	327	320	574	45.23	45.76	56.84	57.69	1.76	1.91	2.32	0.94	0.76	2.03	0.42	0.20	0.54	0.25
энский	29	29	124	124	142	18.95	18.95	28.71	28.71	0.65	1.21	0.89	0.22	0.73	5.52	0.38	0.00	0.67	0.00
жердель	12	12	17	17	12	41.38	41.38	50.00	50.00	0.26	0.26	0.37	0.01	0.72	50.39	0.40	0.00	0.50	0.00
секционка	8	8	94	94	48	7.84	7.84	10.96	10.96	0.61	0.64	0.85	0.09	0.72	6.91	0.28	0.00	1.00	0.00
поварёшка	329	329	711	709	980	31.63	31.70	49.77	49.92	1.49	1.55	2.11	1.21	0.71	1.29	0.37	0.13	0.69	0.31
Новосиб	727	727	1329	1317	1610	35.36	35.57	50.07	50.49	12.94	12.94	19.42	8.09	0.67	1.60	0.45	0.10	0.33	0.14
жлыга	13	13	9	9	20	59.09	59.09	76.47	76.47	0.11	0.08	0.17	0.01	0.66	7.36	0.42	0.00	0.75	0.00
аршан	8	8	321	319	246	2.43	2.45	3.39	3.42	6.63	11.32	10.07	15.60	0.66	0.73	0.51	0.27	0.75	1.00
повешать	188	188	177	174	348	51.51	51.93	62.46	63.09	1.75	1.80	2.68	0.46	0.65	3.96	0.51	0.10	0.41	0.11
Стерлик	7	7	32	32	27	17.95	17.95	22.58	22.58	0.77	0.77	1.19	1.19	0.65	0.65	0.35	0.35	1.00	1.00
улка	68	68	191	190	232	26.25	26.36	35.05	35.23	1.06	0.93	1.60	1.45	0.66	0.64	0.39	0.37	0.78	0.81
кугут	36	36	4	4	21	90.00	90.00	92.31	92.31	0.14	0.11	0.22	0.00	0.64	inf	0.36	0.00	1.00	0.00
родова	11	11	106	105	89	9.40	9.48	11.22	11.34	1.28	1.02	2.05	1.15	0.62	0.89	0.41	0.11	0.94	1.00
мультифор	12	12	81	81	66	12.90	12.90	16.44	16.44	1.53	1.53	2.47	1.50	0.62	1.02	0.38	0.00	1.00	0.00
потеряшка	106	106	736	731	630	12.59	12.66	18.24	18.40	1.19	1.49	1.91	0.94	0.62	1.59	0.47	0.10	0.74	0.38
баклажка	605	605	242	239	576	71.43	71.68	52.08	52.39	2.68	2.83	4.48	3.41	0.60	0.83	0.54	0.48	0.58	0.45
Челяба	154	154	212	210	277	42.08	42.31	53.47	53.85	3.69	3.69	6.25	2.84	0.59	1.30	0.54	0.28	0.67	0.44
реготать	150	150	24	24	103	86.21	86.21	92.02	92.02	0.33	0.49	0.56	0.05	0.59	10.48	0.47	0.00	0.75	0.00
бадлон	144	144	80	80	178	64.29	64.29	83.24	83.24	1.11	1.11	1.96	1.96	0.57	0.57	0.43	0.43	1.00	1.00
скибка	89	89	18	18	74	83.18	83.18	93.68	93.68	0.23	0.28	0.42	0.03	0.55	10.95	0.47	0.00	0.89	0.00
повешаться	56	56	51	49	89	52.34	53.33	64.37	65.88	0.74	1.06	1.41	0.60	0.52	1.77	0.61	0.23	0.51	0.24
тям	86	86	104	101	201	45.26	45.99	65.15	66.67	0.60	0.67	1.16	0.03	0.51	20.35	0.57	0.01	0.59	0.03
муль	8	8	660	654	651	1.20	1.21	1.99	2.02	2.32	2.32	4.55	2.05	0.51	1.13	0.49	0.00	1.00	0.00
крутка	16	16	265	263	249	5.69	5.73	9.52	9.64	1.49	1.49	2.94	0.42	0.51	3.51	0.49	0.00	1.00	0.00
таксобус	13	13	3	3	4	81.25	81.25	92.86	92.86	0.04	0.04	0.08	0.00	0.50	inf	0.50	0.00	1.00	0.00
догоняшки	33	33	92	92	141	26.40	26.40	34.74	34.74	1.15	1.15	2.35	0.90	0.49	1.28	0.52	0.15	0.89	0.44
одоробло	86	86	8	8	52	91.49	91.49	92.47	92.47	0.18	0.28	0.37	0.00	0.49	inf	0.54	0.00	0.75	0.00
маланец	11	11	8	8	21	57.89	57.89	68.75	68.75	0.16	0.03	0.33	0.00	0.48	inf	0.52	0.00	0.75	0.00
ракушняк	72	72	11	11	60	86.75	86.75	91.14	91.14	0.24	0.24	0.49	0.00	0.48	inf	0.52	0.00	1.00	0.00
ругачка	34	34	105	105	122	24.46	24.46	36.17	36.17	0.51	0.38	1.11	0.40	0.46	0.94	0.59	0.38	0.76	0.44
гирло	107	107	62	62	124	63.31	63.31	79.26	79.26	0.33	0.42	0.72	0.06	0.46	6.66	0.54	0.00	1.00	0.00
сарайка	103	103	164	162	238	38.58	38.87	52.82	53.37	1.33	1.49	2.91	0.16	0.46	9.39	0.64	0.00	0.24	0.00
водогрей	106	106	63	63	131	62.72	62.72	79.10	79.10	0.48	0.81	1.07	0.07	0.45	11.05	0.55	0.00	1.00	0.00
