Author	Loc	Words count	Positive lemmas	Negative lemmas	Not positive lemmas	Positive occs	Negative occs	Not positive occs
95712459	Новосибирская область	600	0	1	0	0	2	0
154890780	NA	600	0	0	1	0	0	1
6112521	Россия	600	0	0	1	0	0	1
208594825	NA	600	0	0	1	0	0	1
92074476	Челябинская область	600	0	1	0	0	1	0
173228446	Бурятия	600	1	0	0	3	0	0
6033558	Киев	600	1	0	0	2	0	0
201625738	Москва	600	0	1	0	0	1	0
228179448	NA	600	0	0	1	0	0	1
240801909	Ивановская область	600	0	1	0	0	2	0
208472150	NA	599	0	0	1	0	0	1
201895660	Владимирская область	599	1	0	0	1	0	0
74938151	Закарпатская область	599	1	0	0	1	0	0
230037915	Ставропольский край	599	1	0	0	1	0	0
167715539	NA	599	0	0	1	0	0	1
141181479	Татарстан	599	0	1	0	0	1	0
178346421	Украина	599	0	1	0	0	1	0
220730411	NA	599	0	0	2	0	0	2
210343110	Киев	599	0	1	0	0	1	0
206186051	Россия	599	0	0	1	0	0	1
140668493	Московская область	599	0	1	0	0	1	0
241661419	NA	599	0	0	1	0	0	1
7608351	Киев	599	0	1	0	0	1	0
14323754	Россия	599	0	0	1	0	0	1
96845739	Днепропетровская область	599	0	1	0	0	1	0
189356451	Самарская область	599	0	1	0	0	1	0
17229059	NA	598	0	0	1	0	0	1
267397	Россия	598	0	0	1	0	0	1
163264677	Россия	598	0	0	1	0	0	2
60474354	NA	598	0	0	1	0	0	1
63152506	Башкирия	598	0	1	0	0	1	0
171911528	Россия	598	0	0	1	0	0	1
240607350	Россия	598	0	0	1	0	0	2
195838016	Москва	598	0	1	0	0	1	0
17890771	Киевская область	598	0	1	0	0	1	0
12290455	Татарстан	598	0	1	0	0	2	0
187553406	Москва	598	0	1	0	0	2	0
230225902	Москва	598	0	1	0	0	1	0
244548023	NA	598	0	0	1	0	0	1
38986756	Россия	598	0	0	1	0	0	1
206365201	NA	598	0	0	1	0	0	2
56516815	Россия	598	0	0	1	0	0	1
223606966	NA	598	0	0	1	0	0	1
32032480	Киев	598	0	1	0	0	1	0
180433954	NA	598	0	0	1	0	0	1
232163911	NA	598	0	0	1	0	0	2
182315372	Томская область	597	0	1	0	0	1	0
189783997	Запорожская область	597	0	1	0	0	1	0
241740113	Россия	597	0	0	1	0	0	2
162221102	NA	597	0	0	1	0	0	2
31188538	Свердловская область	597	1	1	0	2	1	0
47617303	Россия	597	0	0	1	0	0	1
3981357	Москва	597	0	1	0	0	1	0
22058103	NA	597	0	0	1	0	0	1
1330538	Россия	597	0	0	1	0	0	1
221957934	Мурманская область	597	0	1	0	0	2	0
96021742	NA	597	0	0	1	0	0	1
206220835	NA	597	0	0	1	0	0	1
138304315	Украина	597	0	1	0	0	1	0
238688440	Россия	597	0	0	1	0	0	1
241868140	Магаданская область	597	0	1	0	0	1	0
155202525	NA	597	0	0	1	0	0	1
223766546	NA	597	0	0	1	0	0	1
134206781	Краснодарский край	597	0	1	0	0	1	0
212361757	Челябинская область	597	1	0	0	1	0	0
70118886	Россия	597	0	0	1	0	0	2
201950823	Красноярский край	597	0	1	0	0	1	0
1747619	Россия	597	0	0	1	0	0	1
9085979	Харьковская область	597	0	1	0	0	1	0
89442080	Киев	597	0	1	0	0	1	0
34629898	NA	597	0	0	1	0	0	1
157901874	Россия	596	0	0	1	0	0	1
243955840	Пермский край	596	0	1	0	0	1	0
110112159	Россия	596	0	0	1	0	0	1
246032208	Архангельская область	596	0	1	0	0	1	0
195358663	Костанайская область	596	1	0	0	1	0	0
412510	Москва	596	1	0	0	1	0	0
221098006	NA	596	0	0	1	0	0	1
250997399	Московская область	596	0	1	0	0	1	0
17079940	Челябинская область	596	1	0	0	1	0	0
12567907	NA	596	0	0	3	0	0	5
173534201	Саратовская область	596	0	1	0	0	1	0
216293091	Казахстан	596	0	1	0	0	1	0
214151756	NA	596	0	0	1	0	0	1
26101944	Московская область	596	0	1	0	0	1	0
112983234	Луганская область	596	0	1	0	0	2	0
3225512	Якутия	596	1	0	0	1	0	0
172839934	Казахстан	596	1	0	0	1	0	0
61713849	NA	596	0	0	1	0	0	1
20737703	Украина	595	1	0	0	1	0	0
246310089	Тюменская область	595	0	1	0	0	8	0
