Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
бусик	90	90	71	71	94	55.90	55.90	66.67	66.67	0.01	0.01	0.05	0.01	0.15	1.17	0.85	0.14	1.00	0.50
кравчучка	25	25	13	13	32	65.79	65.79	73.53	73.53	0.00	0.00	0.02	0.00	0.14	inf	0.86	0.00	1.00	0.00
кинопалац	7	7	2	2	2	77.78	77.78	87.50	87.50	0.00	0.00	0.01	0.00	0.14	inf	0.86	0.00	1.00	0.00
хабза	7	7	4	4	22	63.64	63.64	77.78	77.78	0.01	0.01	0.07	0.00	0.13	inf	0.87	0.00	0.50	0.00
поребрик	15	15	625	625	430	2.34	2.34	2.70	2.70	0.02	0.02	0.18	0.16	0.12	0.15	0.88	0.85	1.00	1.00
байга	11	11	4	4	8	73.33	73.33	73.33	73.33	0.01	0.01	0.12	0.00	0.11	inf	0.89	0.00	1.00	0.00
чинарик	20	20	116	116	209	14.71	14.71	1.69	1.69	0.01	0.01	0.10	0.02	0.10	0.43	0.90	0.57	1.00	1.00
сидушка	43	43	159	159	160	21.29	21.29	0.00	0.00	0.02	0.02	0.21	0.04	0.10	0.57	0.90	0.43	1.00	1.00
шухлядка	10	10	6	6	6	62.50	62.50	66.67	66.67	0.00	0.00	0.01	0.00	0.10	inf	0.90	0.00	1.00	0.00
дюндель	6	6	3	3	3	66.67	66.67	66.67	66.67	0.00	0.00	0.01	0.00	0.09	inf	0.91	0.00	1.00	0.00
маланец	6	6	2	2	6	75.00	75.00	75.00	75.00	0.00	0.00	0.01	0.00	0.08	inf	0.92	0.00	1.00	0.00
открывачка	5	5	2	2	1	71.43	71.43	71.43	71.43	0.00	0.00	0.01	0.00	0.07	inf	0.93	0.00	1.00	0.00
обменник	22	22	669	669	358	3.18	3.18	3.68	3.68	0.02	0.02	0.34	0.19	0.07	0.12	0.93	0.88	1.00	1.00
Симфи	9	9	7	7	7	56.25	56.25	64.29	64.29	0.00	0.00	0.02	0.00	0.06	inf	0.94	0.00	1.00	0.00
кугут	13	13	10	10	9	56.52	56.52	56.52	56.52	0.00	0.00	0.05	0.00	0.06	inf	0.94	0.00	1.00	0.00
муляка	5	5	1	1	0	83.33	83.33	83.33	83.33	0.00	0.00	0.01	0.00	0.05	inf	0.95	0.00	1.00	0.00
новостийный	51	51	58	58	69	46.79	46.79	51.52	51.52	0.01	0.01	0.13	0.01	0.05	1.23	0.95	0.00	1.00	0.00
догонялки	34	34	1171	1170	979	2.82	2.82	3.24	3.25	0.07	0.10	1.50	0.39	0.05	0.25	0.95	0.75	1.00	1.00
ругачка	9	9	56	56	50	13.85	13.85	16.36	16.36	0.00	0.01	0.10	0.11	0.04	0.06	0.96	0.94	1.00	1.00
дудлить	5	5	5	5	13	50.00	50.00	71.43	71.43	0.00	0.00	0.02	0.00	0.03	inf	0.97	0.00	1.00	0.00
растрынькать	6	6	5	5	8	54.55	54.55	54.55	54.55	0.00	0.00	0.04	0.00	0.02	inf	0.98	0.00	1.00	0.00
ракушняк	21	21	9	9	13	70.00	70.00	80.77	80.77	0.00	0.00	0.22	0.00	0.01	inf	0.99	0.00	1.00	0.00
тосать	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бичара	5	5	22	22	22	18.52	18.52	20.83	20.83	0.02	0.00	0.02	0.00	0.80	0.00	0.36	0.00	0.56	1.00
Бирик	1	1	0	0	3	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
шаталить	0	0	1	1	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бздышка	1	1	0	0	1	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
Старочек	2	2	0	0	1	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
пастик	1	1	6	6	8	14.29	14.29	14.29	14.29	0.01	0.00	0.01	0.00	0.73	0.00	0.27	0.00	1.00	1.00
единка	0	0	2	2	3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
мобиль	0	0	383	383	271	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.07	0.00	0.00	0.00	0.00	1.00	1.00
шишковать	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
