Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
Ебург	59	59	61	61	43	49.17	49.17	58.42	58.42	0.07	0.08	0.12	0.02	0.54	4.32	0.58	0.01	0.50	0.11
греча	63	63	2998	2998	3129	2.06	2.06	2.50	2.50	0.47	0.54	0.98	1.05	0.48	0.51	0.55	0.53	0.88	0.88
улка	25	25	79	79	54	24.04	24.04	26.60	26.60	0.04	0.03	0.06	0.07	0.63	0.47	0.48	0.53	0.83	1.00
баклажка	79	79	30	30	69	72.48	72.48	69.07	69.07	0.05	0.04	0.06	0.10	0.76	0.46	0.49	0.68	0.51	0.33
реготать	49	49	5	5	24	90.74	90.74	94.23	94.23	0.01	0.01	0.01	0.00	0.44	inf	0.56	0.00	1.00	0.00
выпадывать	14	14	15	15	19	48.28	48.28	53.85	53.85	0.02	0.03	0.06	0.00	0.43	inf	0.58	0.00	0.94	0.00
сотовый	928	928	7821	7821	7027	10.61	10.61	12.04	12.04	0.88	0.88	2.04	2.04	0.43	0.43	0.57	0.57	1.00	1.00
поварёшка	62	62	213	213	283	22.55	22.55	26.50	26.50	0.04	0.05	0.10	0.07	0.42	0.73	0.60	0.34	0.92	0.75
наливайка	76	76	25	25	48	75.25	75.25	77.55	77.55	0.02	0.02	0.06	0.00	0.38	18.28	0.63	0.00	0.78	0.00
шихан	31	31	72	72	98	30.10	30.10	37.80	37.80	0.06	0.06	0.16	0.02	0.36	3.36	0.64	0.00	1.00	0.00
Ирк	17	17	15	15	29	53.12	53.12	56.67	56.67	0.01	0.01	0.02	0.00	0.33	inf	0.67	0.00	1.00	0.00
тям	19	19	14	14	16	57.58	57.58	76.00	76.00	0.02	0.00	0.01	0.00	1.21	0.33	0.31	0.67	0.44	1.00
кубло	121	121	114	114	245	51.49	51.49	60.50	60.50	0.05	0.03	0.16	0.06	0.32	0.43	0.72	0.61	0.89	0.67
яйла	24	24	31	31	43	43.64	43.64	51.06	51.06	0.12	0.12	0.38	0.02	0.32	7.66	0.68	0.00	1.00	0.00
сотик	57	57	116	116	120	32.95	32.95	35.62	35.62	0.03	0.04	0.07	0.12	0.41	0.32	0.62	0.69	0.80	0.81
селюк	425	425	50	50	206	89.47	89.47	91.79	91.79	0.06	0.06	0.21	0.01	0.31	9.31	0.69	0.00	1.00	0.00
горпарк	12	12	19	19	12	38.71	38.71	40.00	40.00	0.06	0.06	0.19	0.19	0.30	0.30	0.70	0.70	1.00	1.00
байга	18	18	4	4	14	81.82	81.82	81.82	81.82	0.03	0.03	0.12	0.00	0.28	inf	0.72	0.00	1.00	0.00
догоняшки	7	7	6	6	11	53.85	53.85	63.64	63.64	0.01	0.03	0.05	0.00	0.27	inf	0.75	0.00	0.89	0.00
занос	260	260	1665	1665	1570	13.51	13.51	0.00	0.00	0.15	0.15	0.65	0.65	0.23	0.23	0.77	0.77	1.00	1.00
гранчак	6	6	2	2	5	75.00	75.00	85.71	85.71	0.00	0.00	0.00	0.00	0.22	inf	0.78	0.00	1.00	0.00
батониться	11	11	6	6	10	64.71	64.71	78.57	78.57	0.02	0.03	0.11	0.00	0.22	inf	0.82	0.00	0.24	0.00
Челяба	106	106	114	114	166	48.18	48.18	54.92	54.92	0.15	0.23	0.85	1.11	0.18	0.21	0.83	0.82	0.78	0.50
стёрка	68	68	113	113	159	37.57	37.57	42.24	42.24	0.02	0.02	0.12	0.03	0.18	0.66	0.82	0.46	1.00	0.81
парафия	18	18	6	6	19	75.00	75.00	90.00	90.00	0.00	0.00	0.01	0.00	0.18	inf	0.83	0.00	0.75	0.00
мобилка	396	396	588	588	791	40.24	40.24	46.48	46.48	0.06	0.06	0.37	0.37	0.16	0.16	0.84	0.84	1.00	1.00
таксофирма	6	6	2	2	3	75.00	75.00	85.71	85.71	0.00	0.00	0.01	0.00	0.16	inf	0.84	0.00	1.00	0.00
матный	56	56	967	967	948	5.47	5.47	6.29	6.29	0.10	0.10	0.64	0.60	0.15	0.16	0.85	0.84	1.00	1.00
бусик	102	102	84	84	104	54.84	54.84	66.23	66.23	0.01	0.02	0.08	0.04	0.15	0.40	0.85	0.60	1.00	1.00
поребрик	16	16	773	773	520	2.03	2.03	2.29	2.29	0.03	0.03	0.25	0.24	0.13	0.14	0.87	0.86	1.00	1.00
обменник	26	26	814	814	445	3.10	3.10	3.61	3.61	0.04	0.04	0.35	0.24	0.12	0.18	0.88	0.82	1.00	1.00
шухлядка	13	13	6	6	7	68.42	68.42	72.22	72.22	0.00	0.00	0.02	0.00	0.12	inf	0.88	0.00	1.00	0.00
хабза	7	7	5	5	23	58.33	58.33	70.00	70.00	0.01	0.01	0.13	0.00	0.11	inf	0.89	0.00	0.50	0.00
сидушка	46	46	172	172	171	21.10	21.10	0.00	0.00	0.03	0.03	0.25	0.09	0.11	0.30	0.89	0.70	1.00	1.00
обменка	102	102	96	96	103	51.52	51.52	57.95	57.95	0.02	0.01	0.15	0.06	0.10	0.26	0.90	0.74	1.00	1.00
чинарик	20	20	117	117	214	14.60	14.60	1.68	1.68	0.01	0.01	0.15	0.03	0.09	0.36	0.91	0.64	1.00	1.00
дюндель	6	6	3	3	3	66.67	66.67	66.67	66.67	0.00	0.00	0.01	0.00	0.07	inf	0.93	0.00	1.00	0.00
маланец	6	6	2	2	10	75.00	75.00	75.00	75.00	0.00	0.00	0.01	0.00	0.07	inf	0.93	0.00	1.00	0.00
кравчучка	41	41	50	50	114	45.05	45.05	56.94	56.94	0.01	0.01	0.10	0.08	0.06	0.08	0.94	0.92	1.00	1.00
открывачка	5	5	2	2	1	71.43	71.43	71.43	71.43	0.00	0.00	0.01	0.00	0.06	inf	0.94	0.00	1.00	0.00
ругачка	9	9	56	56	50	13.85	13.85	16.36	16.36	0.01	0.01	0.12	0.12	0.05	0.07	0.95	0.93	1.00	1.00
кугут	15	15	10	10	10	60.00	60.00	60.00	60.00	0.00	0.00	0.08	0.00	0.05	inf	0.95	0.00	1.00	0.00
муляка	5	5	1	1	0	83.33	83.33	83.33	83.33	0.00	0.00	0.02	0.00	0.05	inf	0.95	0.00	1.00	0.00
догонялки	39	39	1251	1250	1045	3.02	3.03	3.49	3.49	0.10	0.15	2.38	0.58	0.04	0.26	0.96	0.74	1.00	1.00
кинопалац	9	9	6	6	6	60.00	60.00	64.29	64.29	0.00	0.00	0.05	0.05	0.03	0.03	0.97	0.97	1.00	1.00
дудлить	6	6	6	6	15	50.00	50.00	75.00	75.00	0.00	0.00	0.03	0.00	0.03	inf	0.97	0.00	1.00	0.00
новостийный	95	95	123	123	155	43.58	43.58	47.26	47.26	0.01	0.01	0.56	0.10	0.03	0.14	0.97	0.86	1.00	1.00
Симфи	10	10	11	11	7	47.62	47.62	52.63	52.63	0.00	0.00	0.07	0.00	0.02	inf	0.98	0.00	1.00	0.00
ракушняк	21	21	12	12	14	63.64	63.64	75.00	75.00	0.00	0.00	0.20	0.00	0.02	1.10	0.98	0.00	1.00	0.00
растрынькать	6	6	5	5	8	54.55	54.55	54.55	54.55	0.00	0.00	0.07	0.00	0.01	inf	0.99	0.00	1.00	0.00
окараться	2	2	0	0	1	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
берик	1	1	75	75	52	1.32	1.32	1.39	1.39	0.00	0.00	0.13	0.11	0.03	0.00	0.97	0.00	1.00	1.00
трущобник	0	0	2	2	5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
юганский	2	2	7	7	6	22.22	22.22	28.57	28.57	0.02	0.00	0.03	0.00	0.69	0.00	0.31	0.00	1.00	1.00
прометейка	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
боровок	0	0	19	19	14	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.01	0.00	0.00	0.00	0.00	1.00	1.00
энский	4	4	25	25	20	13.79	13.79	14.81	14.81	0.01	0.00	0.05	0.00	0.23	0.00	0.77	0.00	1.00	1.00
однёрка	2	2	28	28	26	6.67	6.67	7.14	7.14	0.00	0.00	0.09	0.00	0.03	0.00	0.97	0.00	1.00	1.00
