Лемма						
рыготать	0.00	0.00	1.00	0.00	0.00	1.00
рыпа	0.00	0.00	1.00	0.00	0.00	1.00
рясно	inf	0.00	0.00	inf	0.00	0.00
рясный	inf	0.00	0.00	inf	0.00	0.00
садинка	0.00	0.00	1.00	0.00	0.00	1.00
садоогород	0.00	0.00	1.00	0.00	0.00	1.00
сарайка	46.22	0.00	0.00	69.51	0.00	0.00
сахаляр	0.00	0.00	1.00	0.00	0.00	1.00
сахалярка	0.00	0.00	1.00	0.00	0.00	1.00
Светлик	inf	0.00	0.00	inf	0.00	0.00
сворот	0.00	0.00	1.00	0.00	0.00	1.00
свороток	0.00	0.00	1.00	0.00	0.00	1.00
сгондобить	0.00	0.00	1.00	0.00	0.00	1.00
Севаст	6.32	0.00	0.00	6.88	0.00	0.00
Севик	0.00	0.00	1.00	0.00	0.00	1.00
Севск	inf	0.00	0.00	inf	0.00	0.00
сейгод	0.00	0.00	1.00	0.00	0.00	1.00
секционка	inf	0.00	0.00	inf	0.00	0.00
селюк	8.21	0.00	0.00	9.31	0.00	0.00
селюковский	0.00	0.00	1.00	0.00	0.00	1.00
селючество	0.00	0.00	1.00	0.00	0.00	1.00
селючка	inf	0.00	0.00	inf	0.00	0.00
Семск	inf	0.00	0.00	inf	0.00	0.00
семский	inf	0.00	0.00	inf	0.00	0.00
сидушка	0.57	0.43	1.00	0.30	0.70	1.00
сижка	0.00	0.00	1.00	0.00	0.00	1.00
Симф	10.20	0.00	0.00	9.66	0.00	0.00
Симфер	3.52	0.00	0.00	3.42	0.00	0.00
Симфи	inf	0.00	0.00	inf	0.00	0.00
Симфик	0.00	0.00	1.00	0.00	0.00	1.00
скиба	0.00	0.00	1.00	0.00	0.00	1.00
скибка	inf	0.00	0.00	inf	0.00	0.00
скобариха	0.00	0.00	1.00	0.00	0.00	1.00
скобарь	0.00	0.00	1.00	0.00	0.00	1.00
Слепцовка	0.00	0.00	1.00	0.00	0.00	1.00
Слепцовск	0.00	0.00	1.00	0.00	0.00	1.00
Слепцовская	0.00	0.00	1.00	0.00	0.00	1.00
сморода	0.00	0.00	1.00	0.00	0.00	1.00
сорога	0.00	0.00	1.00	0.00	0.00	1.00
сорожка	0.00	0.00	1.00	0.00	0.00	1.00
сотик	0.22	0.78	1.00	0.32	0.69	0.81
сотовик	0.00	0.00	1.00	0.00	0.00	1.00
сотовый	0.70	0.36	0.75	0.43	0.57	1.00
спадывать	0.00	0.00	1.00	0.00	0.00	1.00
сродный	0.83	0.32	0.67	0.81	0.31	0.67
ссобойка	0.00	0.00	1.00	0.00	0.00	1.00
сталинка	1.56	0.18	0.28	1.39	0.22	0.40
стародачный	0.00	0.00	1.00	0.00	0.00	1.00
Старочек	0.00	0.00	1.00	0.00	0.00	1.00
стёрка	0.66	0.46	0.75	0.66	0.46	0.81
Стерлик	inf	0.00	0.00	inf	0.00	0.00
строгалка	0.00	0.00	1.00	0.00	0.00	1.00
сущик	0.00	0.00	1.00	0.00	0.00	1.00
схилять	0.00	0.00	1.00	0.00	0.00	1.00
сырть	0.00	0.00	1.00	0.00	0.00	1.00
таксичка	0.00	0.00	1.00	0.00	0.00	1.00
таксофирма	inf	0.00	0.00	inf	0.00	0.00
тарбаган	0.00	0.00	1.00	0.00	0.00	1.00
темнушка	0.00	0.00	1.00	inf	0.00	0.00
тигули	0.00	0.00	1.00	0.00	0.00	1.00
толобы	0.00	0.00	1.00	0.00	0.00	1.00
толока	3.89	0.00	0.00	5.25	0.00	0.00
толчёнка	0.00	0.00	1.00	0.00	0.00	1.00
тосать	0.00	0.00	1.00	0.00	0.00	1.00
тремпель	13.96	0.00	0.00	12.04	0.00	0.00
трущобник	0.00	0.00	1.00	0.00	0.00	1.00
тулик	0.00	0.00	1.00	0.00	0.00	1.00
турлы	0.00	0.00	1.00	0.00	0.00	1.00
тутник	0.00	0.00	1.00	0.00	0.00	1.00
тыняться	inf	0.00	0.00	inf	0.00	0.00
тырсить	0.00	0.00	1.00	0.00	0.00	1.00
тырситься	0.00	0.00	1.00	0.00	0.00	1.00
тэшка	0.00	0.00	1.00	0.00	0.00	1.00
тютина	0.00	0.00	1.00	0.00	0.00	1.00
тям	0.31	0.69	1.00	0.33	0.67	1.00
тяма	0.00	0.00	1.00	0.00	0.00	1.00
углярка	0.00	0.00	1.00	0.00	0.00	1.00
уёк	0.00	0.00	1.00	0.00	0.00	1.00
Улановка	inf	0.00	0.00	inf	0.00	0.00
улановский	0.00	0.00	1.00	0.00	0.00	1.00
улка	0.53	0.47	1.00	0.47	0.53	1.00
улучшенка	inf	0.00	0.00	inf	0.00	0.00
Ульск	inf	0.00	0.00	inf	0.00	0.00
ульский	0.00	0.00	1.00	0.00	0.00	1.00
ульяновка	0.00	0.00	1.00	0.00	0.00	1.00
фазанка	0.00	0.00	1.00	0.00	0.00	1.00
фортан	0.00	0.00	1.00	0.00	0.00	1.00
хабарь	0.00	0.00	1.00	0.00	0.00	1.00
хабза	inf	0.00	0.00	inf	0.00	0.00
хабот	0.00	0.00	1.00	0.00	0.00	1.00
хапчик	0.00	0.00	1.00	0.00	0.00	1.00
харып	0.00	0.00	1.00	0.00	0.00	1.00
харыпка	0.00	0.00	1.00	0.00	0.00	1.00
хилять	0.00	0.00	1.00	0.00	0.00	1.00
хитник	0.00	0.00	1.00	0.00	0.00	1.00
хобза	0.00	0.00	1.00	0.00	0.00	1.00
хохоряшки	0.00	0.00	1.00	0.00	0.00	1.00
царан	0.00	0.00	1.00	0.00	0.00	1.00
чебак	0.00	0.00	1.00	0.00	0.00	1.00
чебовский	0.00	0.00	1.00	0.00	0.00	1.00
чебурята	0.00	0.00	1.00	0.00	0.00	1.00
Чебы	30.89	0.00	0.00	38.38	0.00	0.00
Челяба	8.54	0.00	0.00	0.21	0.82	0.50
чепыжи	0.00	0.00	1.00	0.00	0.00	1.00
Черник	0.00	0.00	1.00	0.00	0.00	1.00
Черних	0.00	0.00	1.00	0.00	0.00	1.00
чинарик	0.43	0.57	1.00	0.36	0.64	1.00
чирус	0.00	0.00	1.00	0.00	0.00	1.00
чкаться	0.00	0.00	1.00	0.00	0.00	1.00
чойс	0.00	0.00	1.00	0.00	0.00	1.00
чубарик	0.00	0.00	1.00	0.00	0.00	1.00
чухать	0.00	0.00	1.00	0.00	0.00	1.00
шаварма	0.00	0.00	1.00	0.00	0.00	1.00
шаверма	4.70	0.08	0.22	3.16	0.09	0.33
шалабушки	0.00	0.00	1.00	0.00	0.00	1.00
шарушки	0.00	0.00	1.00	0.00	0.00	1.00
шаталить	0.00	0.00	1.00	0.00	0.00	1.00
шахер	0.00	0.00	1.00	0.00	0.00	1.00
шаять	0.00	0.00	1.00	0.00	0.00	1.00
швендять	inf	0.00	0.00	inf	0.00	0.00
шибаться	0.00	0.00	1.00	0.00	0.00	1.00
шихан	7.00	0.00	0.00	3.36	0.00	0.00
шишковать	0.00	0.00	1.00	0.00	0.00	1.00
шкара	0.00	0.00	1.00	0.00	0.00	1.00
шкорки	0.00	0.00	1.00	0.00	0.00	1.00
шкрек	0.00	0.00	1.00	0.00	0.00	1.00
шобон	0.00	0.00	1.00	0.00	0.00	1.00
шурупать	0.00	0.00	1.00	0.00	0.00	1.00
шурушки	0.00	0.00	1.00	0.00	0.00	1.00
шуфлядка	0.00	0.00	1.00	0.00	0.00	1.00
шухлядка	inf	0.00	0.00	inf	0.00	0.00
энский	0.00	0.00	1.00	0.00	0.00	1.00
Юганск	0.00	0.00	1.00	0.00	0.00	1.00
юганский	0.00	0.00	1.00	0.00	0.00	1.00
явочка	0.00	0.00	1.00	0.00	0.00	1.00
яйла	10.91	0.00	0.00	7.66	0.00	0.00
