Author	Loc	Words count	Positive lemmas	Negative lemmas	Not positive lemmas	Positive occs	Negative occs	Not positive occs
178791007	Россия	1222	0	0	1	0	0	5
233721670	NA	1222	0	0	1	0	0	1
155473808	Москва	1222	0	1	0	0	1	0
98324638	Татарстан	1222	0	1	0	0	1	0
138048750	NA	1221	0	0	1	0	0	1
164012715	NA	1221	0	0	1	0	0	1
248836594	NA	1221	0	0	2	0	0	2
49847475	Московская область	1221	0	1	0	0	1	0
235023660	Украина	1221	1	0	0	1	0	0
66590589	Днепропетровская область	1221	0	1	0	0	1	0
229037759	Могилевская область	1221	0	1	0	0	1	0
95300028	Кемеровская область	1221	0	1	0	0	1	0
225579955	NA	1220	0	0	1	0	0	1
151816609	Рязанская область	1220	0	1	0	0	1	0
16800070	Донецкая область	1220	1	0	0	1	0	0
47468120	Россия	1220	0	0	1	0	0	1
222256339	Москва	1220	0	1	0	0	1	0
151348832	NA	1220	0	0	1	0	0	1
528995	Россия	1220	0	0	1	0	0	1
161822362	Краснодарский край	1220	0	1	0	0	3	0
147430093	NA	1219	0	0	1	0	0	1
145813732	NA	1219	0	0	1	0	0	1
10640	Ханты-Мансийский АО	1219	0	1	0	0	1	0
214885000	NA	1219	0	0	1	0	0	1
167193667	Якутия	1219	0	1	0	0	1	0
205691236	Россия	1219	0	0	1	0	0	1
57450655	Москва	1219	0	1	0	0	7	0
211769973	Россия	1219	0	0	1	0	0	1
163505815	Казахстан	1219	1	0	0	2	0	0
27358710	NA	1219	0	0	1	0	0	1
95915475	Москва	1218	0	1	0	0	1	0
223674641	Приморский край	1218	0	1	0	0	2	0
143130510	Херсонская область	1218	1	0	0	1	0	0
230985635	Украина	1218	0	1	0	0	2	0
219661377	Россия	1218	0	0	1	0	0	1
106504360	NA	1218	0	0	1	0	0	18
66431689	NA	1218	0	0	1	0	0	1
13641617	Киев	1218	1	0	0	1	0	0
182695792	Приморский край	1218	0	1	0	0	1	0
19670909	Красноярский край	1218	0	1	0	0	1	0
164587681	Ростовская область	1218	0	1	0	0	2	0
188951408	Россия	1218	0	0	1	0	0	1
165294103	Ленинградская область	1218	0	1	0	0	2	0
236213586	Калининградская область	1218	0	1	0	0	1	0
236429815	NA	1218	0	0	1	0	0	1
19804985	NA	1217	0	0	1	0	0	16
220517402	NA	1217	0	0	1	0	0	1
152198052	Украина	1217	0	1	0	0	1	0
194960278	Москва	1217	0	1	0	0	1	0
244057427	Москва	1217	0	1	0	0	1	0
216117973	Пензенская область	1217	0	1	0	0	1	0
176055618	Курганская область	1217	0	1	0	0	1	0
204487182	Донецкая область	1217	0	1	0	0	1	0
175266661	Москва	1217	0	1	0	0	1	0
73581512	Украина	1217	0	1	0	0	1	0
250822075	Москва	1216	1	0	0	1	0	0
239684959	NA	1216	0	0	1	0	0	1
2924621	NA	1216	0	0	1	0	0	1
150564159	NA	1216	0	0	1	0	0	1
6536423	Гомельская область	1216	1	0	0	1	0	0
29538276	Россия	1216	0	0	1	0	0	1
190624897	Днепропетровская область	1216	1	0	0	1	0	0
162517151	NA	1216	0	0	1	0	0	1
52647006	Архангельская область	1216	0	1	0	0	1	0
202502226	Казахстан	1216	0	2	0	0	3	0
548105	Москва	1216	0	1	0	0	1	0
5151093	Москва	1216	0	1	0	0	1	0
90252676	Россия	1215	0	0	1	0	0	5
162026665	Московская область	1215	1	0	0	1	0	0
2438135	NA	1215	0	0	1	0	0	18
40634474	Татарстан	1215	0	1	0	0	1	0
105445046	Украина	1215	0	1	0	0	1	0
4024190	Сахалинская область	1215	0	1	0	0	1	0
139910161	NA	1215	0	0	1	0	0	1
242005030	NA	1215	0	0	1	0	0	1
22079705	Москва	1215	0	1	0	0	1	0
164699295	Россия	1214	0	0	1	0	0	1
88120342	Россия	1214	0	0	1	0	0	1
135123512	Башкирия	1214	0	1	0	0	1	0
18777712	Россия	1214	0	0	1	0	0	1
235406564	Россия	1214	0	0	1	0	0	1
90377309	Ямайка	1214	0	0	1	0	0	7
213200657	Марий Эл	1214	0	1	0	0	1	0
223092115	NA	1214	0	0	1	0	0	1
79936618	Кировская область	1213	0	1	0	0	1	0
5681694	Архангельская область	1213	0	1	0	0	1	0
184025769	NA	1213	0	0	1	0	0	1
93065985	Житомирская область	1213	0	1	0	0	1	0
17952244	Саратовская область	1213	0	1	0	0	1	0
166495510	Дагестан	1213	0	1	0	0	1	0
219432335	Свердловская область	1213	0	1	0	0	1	0
49001863	Киев	1213	1	0	0	1	0	0
21859205	Украина	1213	1	0	0	1	0	0
22777438	Киев	1212	0	1	0	0	1	0
233177074	Киев	1212	1	0	0	1	0	0
178175434	Сахалинская область	1212	1	0	0	3	0	0
120469175	Украина	1212	1	0	0	1	0	0
226142360	Украина	1212	0	1	0	0	1	0
84478133	Полтавская область	1212	1	0	0	1	0	0
10690121	Одесская область	1212	0	1	0	0	1	0
8915510	NA	1211	0	0	1	0	0	1
220426446	Россия	1211	0	0	1	0	0	1
225029529	Львовская область	1211	1	0	0	1	0	0
53135926	Вологодская область	1211	0	1	0	0	1	0
152235	Россия	1211	0	0	1	0	0	1
120698465	Кировская область	1211	0	1	0	0	1	0
162091244	NA	1211	0	0	1	0	0	1
146497702	Россия	1211	0	0	1	0	0	1
29466636	Псковская область	1211	0	1	0	0	1	0
22326311	Одесская область	1211	1	0	0	1	0	0
12451477	Москва	1211	0	1	0	0	1	0
27833024	Житомирская область	1211	0	1	0	0	1	0
229979173	NA	1211	0	0	1	0	0	1
7199401	NA	1210	0	0	1	0	0	1
10190217	Краснодарский край	1210	0	1	0	0	1	0
91090143	Львовская область	1210	0	1	0	0	1	0
198119736	Россия	1210	0	0	1	0	0	2
14372500	NA	1210	0	0	1	0	0	2
10542117	NA	1210	0	0	1	0	0	1
58327566	Челябинская область	1210	0	1	0	0	1	0
151317753	Ярославская область	1210	0	1	0	0	1	0
219815375	NA	1210	0	0	1	0	0	1
133008022	Татарстан	1210	0	1	0	0	2	0
168853942	Украина	1210	0	1	0	0	2	0
181299611	Владимирская область	1210	0	1	0	0	1	0
206464730	Казахстан	1210	1	0	0	1	0	0
54380702	Испания	1210	0	0	1	0	0	1
2607436	Россия	1209	0	0	1	0	0	1
232545581	NA	1209	0	0	1	0	0	1
14768333	Россия	1209	0	0	1	0	0	1
157166946	Москва	1209	0	1	0	0	2	0
55366081	Новосибирская область	1209	0	1	0	0	1	0
50389124	Челябинская область	1209	1	0	0	1	0	0
162291319	Россия	1209	0	0	1	0	0	1
27408411	NA	1208	0	0	1	0	0	1
191776521	Иркутская область	1208	1	0	0	1	0	0
22097396	Украина	1208	1	0	0	1	0	0
2799121	Россия	1208	0	0	1	0	0	1
240960177	Томская область	1208	0	1	0	0	1	0
69672819	Волгоградская область	1208	0	1	0	0	1	0
76835072	Кировская область	1208	0	1	0	0	1	0
18524087	Петербург	1208	0	1	0	0	5	0
145680325	Иркутская область	1207	0	1	0	0	1	0
10479279	Свердловская область	1207	1	0	0	1	0	0
4626484	Красноярский край	1207	0	1	0	0	2	0
10218132	Днепропетровская область	1207	1	0	0	1	0	0
132917887	Россия	1207	0	0	1	0	0	1
4641468	Новосибирская область	1207	1	0	0	1	0	0
16461269	NA	1207	0	0	1	0	0	1
136000470	Владимирская область	1206	0	1	0	0	1	0
15706307	Удмуртия	1206	1	0	0	1	0	0
232848264	Татарстан	1206	0	1	0	0	1	0
31659569	Киев	1206	1	0	0	1	0	0
33888283	Новосибирская область	1206	1	0	0	1	0	0
125331022	Пермский край	1206	0	1	0	0	1	0
72180876	Россия	1206	0	0	1	0	0	1
164423508	Россия	1205	0	0	1	0	0	1
221886519	Украина	1205	0	1	0	0	1	0
92838008	Москва	1205	0	1	0	0	1	0
212836737	Казахстан	1205	1	0	0	2	0	0
44648656	Украина	1205	3	0	0	4	0	0
50043320	Россия	1205	0	0	25	0	0	26
187696212	NA	1205	0	0	1	0	0	4
32029992	NA	1204	0	0	1	0	0	1
245471998	Костанайская область	1204	0	1	0	0	1	0
246816721	Оренбургская область	1204	1	0	0	1	0	0
163450268	Киев	1204	1	0	0	1	0	0
247265298	Казахстан	1204	0	1	0	0	1	0
13440992	NA	1204	0	0	1	0	0	1
9403419	Москва	1204	0	1	0	0	1	0
2602363	NA	1204	0	0	1	0	0	1
182730536	Москва	1204	0	1	0	0	1	0
139267379	NA	1204	0	0	1	0	0	2
7455786	Россия	1204	0	0	1	0	0	1
185494704	Свердловская область	1203	0	1	0	0	1	0
132898061	Москва	1203	0	1	0	0	1	0
182726681	Татарстан	1203	0	1	0	0	1	0
6941793	Россия	1203	0	0	1	0	0	1
196462798	Москва	1203	0	1	0	0	1	0
213816498	NA	1203	0	0	1	0	0	1
12548167	NA	1203	0	0	1	0	0	1
30360887	Черкасская область	1203	1	0	0	1	0	0
206370572	Россия	1203	0	0	1	0	0	1
8843842	Россия	1203	0	0	1	0	0	1
164005500	Россия	1203	0	0	1	0	0	1
215501383	Казахстан	1202	0	1	0	0	1	0
6784837	Россия	1202	0	0	1	0	0	1
98071628	NA	1202	0	0	1	0	0	1
8426615	Псковская область	1202	0	1	0	0	1	0
189338067	NA	1202	0	0	1	0	0	1
18910667	Волгоградская область	1202	0	1	0	0	1	0
24929076	NA	1202	0	0	1	0	0	1
238362647	Татарстан	1201	1	0	0	1	0	0
133020162	Калининградская область	1201	1	0	0	1	0	0
73932573	Россия	1201	0	0	1	0	0	2
210476026	Могилевская область	1201	0	1	0	0	1	0
161108914	Николаевская область	1201	0	1	0	0	1	0
4354195	Ростовская область	1200	0	1	0	0	1	0
216500164	NA	1200	0	0	1	0	0	1
37204116	NA	1200	0	0	1	0	0	18
2763820	Россия	1200	0	0	1	0	0	1
159547800	Удмуртия	1200	0	1	0	0	3	0
227374868	Новосибирская область	1200	1	0	0	1	0	0
93871709	Россия	1200	0	0	1	0	0	1
202954395	Ямало-Ненецкий АО	1199	0	1	0	0	1	0
249916084	NA	1199	0	0	1	0	0	1
47741409	Кемеровская область	1199	0	1	0	0	1	0
1193546	Челябинская область	1199	1	0	0	1	0	0
165249151	NA	1199	0	0	1	0	0	1
204189811	Ханты-Мансийский АО	1199	0	1	0	0	1	0
117749072	Россия	1199	0	0	1	0	0	1
1073342	Россия	1198	0	0	1	0	0	1
154763874	Краснодарский край	1198	0	1	0	0	1	0
22777299	Тюменская область	1198	0	1	0	0	1	0
8555258	Москва	1198	0	1	0	0	1	0
185739147	NA	1198	0	0	1	0	0	1
156097528	Москва	1198	0	1	0	0	1	0
12458410	Россия	1198	0	0	1	0	0	1
112821344	Россия	1197	0	0	1	0	0	1
52580311	NA	1197	0	0	1	0	0	1
68681941	Россия	1197	0	0	1	0	0	1
213996985	NA	1197	0	0	1	0	0	1
42185485	NA	1196	0	0	1	0	0	2
213848708	Астана	1196	0	0	1	0	0	1
51307737	Киев	1196	0	1	0	0	1	0
82799969	NA	1196	0	0	1	0	0	1
52134346	Одесская область	1196	0	1	0	0	1	0
47380913	Россия	1195	0	0	1	0	0	2
205342170	Башкирия	1195	0	1	0	0	2	0
164599145	Украина	1195	0	1	0	0	1	0
192473411	Московская область	1195	0	1	0	0	1	0
14265117	Тюменская область	1195	0	1	0	0	2	0
35953506	NA	1195	0	0	1	0	0	1
186257458	Казахстан	1195	0	1	0	0	1	0
107483990	Москва	1195	0	1	0	0	1	0
146237968	Иркутская область	1195	1	0	0	1	0	0
171024555	NA	1195	0	0	1	0	0	1
205190677	Южная Корея	1195	0	0	1	0	0	1
223880826	Иркутская область	1194	0	1	0	0	1	0
2199571	Ростовская область	1194	0	1	0	0	1	0
158653565	Башкирия	1194	1	0	0	1	0	0
9446996	Ивано-Франковская область	1194	1	0	0	1	0	0
194922339	NA	1194	0	0	1	0	0	1
194572079	Татарстан	1194	0	1	0	0	1	0
77818299	Новосибирская область	1194	0	1	0	0	1	0
43124677	Свердловская область	1194	0	1	0	0	2	0
134463433	Хмельницкая область	1194	0	1	0	0	3	0
159332814	Челябинская область	1194	0	1	0	0	1	0
152542056	Киев	1194	0	1	0	0	1	0
188920388	Астана	1194	0	0	1	0	0	1
135979634	Свердловская область	1193	1	0	0	1	0	0
174586092	NA	1193	0	0	1	0	0	1
199920878	Костанайская область	1193	0	1	0	0	1	0
225730844	NA	1193	0	0	1	0	0	1
247043470	NA	1193	0	0	1	0	0	1
161446429	Россия	1193	0	0	1	0	0	1
8547105	Молдавия	1193	0	1	0	0	3	0
220100109	Свердловская область	1193	0	1	0	0	1	0
166061918	NA	1193	0	0	1	0	0	3
40330835	Челябинская область	1193	0	1	0	0	1	0
92271	Россия	1192	0	0	1	0	0	2
100599615	NA	1192	0	0	1	0	0	1
137429688	Одесская область	1192	0	1	0	0	1	0
224910693	NA	1192	0	0	1	0	0	7
