Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
шухлядка	13	13	4	4	5	76.47	76.47	81.25	81.25	0.00	0.00	0.02	0.00	0.12	inf	0.88	0.00	1.00	0.00
Челяба	55	55	71	71	89	43.65	43.65	50.46	50.46	0.16	0.16	1.40	1.35	0.11	0.12	0.89	0.89	0.75	0.50
кугут	12	12	5	5	3	70.59	70.59	70.59	70.59	0.00	0.00	0.02	0.00	0.11	inf	0.89	0.00	1.00	0.00
поребрик	11	11	653	653	382	1.66	1.66	1.86	1.86	0.03	0.03	0.28	0.28	0.11	0.10	0.89	0.90	1.00	1.00
чинарик	12	12	62	62	74	16.22	16.22	3.12	3.12	0.02	0.01	0.19	0.03	0.08	0.24	0.92	0.76	1.00	1.00
матный	33	33	725	725	543	4.35	4.35	5.02	5.02	0.07	0.09	0.80	0.73	0.08	0.12	0.92	0.88	1.00	1.00
обменка	67	67	59	59	59	53.17	53.17	59.29	59.29	0.01	0.01	0.18	0.07	0.08	0.17	0.92	0.83	1.00	1.00
сидушка	26	26	116	116	101	18.31	18.31	0.00	0.00	0.02	0.02	0.30	0.05	0.06	0.38	0.94	0.62	1.00	1.00
кравчучка	36	36	50	50	109	41.86	41.86	53.73	53.73	0.01	0.01	0.12	0.10	0.06	0.07	0.94	0.93	1.00	1.00
догонялки	31	31	1028	1027	762	2.93	2.93	3.37	3.37	0.11	0.15	3.38	0.85	0.03	0.17	0.97	0.83	1.00	1.00
кинопалац	9	9	6	6	6	60.00	60.00	64.29	64.29	0.00	0.00	0.06	0.06	0.03	0.03	0.97	0.97	1.00	1.00
новостийный	93	93	123	123	149	43.06	43.06	46.73	46.73	0.02	0.02	0.74	0.13	0.02	0.14	0.98	0.86	1.00	1.00
растрынькать	5	5	3	3	8	62.50	62.50	62.50	62.50	0.00	0.00	0.04	0.00	0.02	inf	0.98	0.00	1.00	0.00
Симфи	7	7	11	11	3	38.89	38.89	43.75	43.75	0.00	0.00	0.09	0.00	0.02	inf	0.98	0.00	1.00	0.00
ракушняк	16	16	10	10	11	61.54	61.54	72.73	72.73	0.00	0.00	0.23	0.00	0.01	inf	0.99	0.00	1.00	0.00
бодыч	1	1	0	0	1	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
родовик	0	0	4	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
свороток	4	4	8	8	4	33.33	33.33	50.00	50.00	0.17	0.00	0.01	0.00	11.80	0.00	0.04	0.00	0.25	1.00
улановский	2	2	10	10	5	16.67	16.67	18.18	18.18	0.09	0.00	0.10	0.00	0.90	0.00	0.10	0.00	1.00	1.00
Ульск	4	4	2	2	4	66.67	66.67	80.00	80.00	0.08	0.00	0.01	0.00	15.64	0.00	0.00	0.00	0.00	1.00
энский	3	3	19	19	13	13.64	13.64	14.29	14.29	0.02	0.00	0.08	0.00	0.27	0.00	0.73	0.00	1.00	1.00
мультифорка	1	1	2	2	0	33.33	33.33	50.00	50.00	0.01	0.00	0.04	0.00	0.18	0.00	0.82	0.00	1.00	1.00
политпроект	2	2	4	4	2	33.33	33.33	33.33	33.33	0.00	0.00	0.02	0.00	0.02	0.00	0.98	0.00	1.00	1.00
коринка	0	0	8	8	8	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	1.00	1.00
отпадывать	3	3	1	1	3	75.00	75.00	75.00	75.00	0.01	0.00	0.06	0.00	0.13	0.00	0.87	0.00	0.50	1.00
бодан	0	0	2	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
шобон	0	0	5	5	2	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
газвода	3	3	4	4	9	42.86	42.86	60.00	60.00	0.01	0.00	0.03	0.00	0.39	0.00	0.66	0.00	0.67	1.00
сорожка	2	2	1	1	3	66.67	66.67	66.67	66.67	0.01	0.00	0.00	0.00	1.89	0.00	0.05	0.00	0.50	1.00
дикошарый	6	6	1	1	0	85.71	85.71	85.71	85.71	0.01	0.00	0.01	0.00	1.68	0.00	0.31	0.00	0.25	1.00
кура	2	2	39	39	29	4.88	4.88	6.45	6.45	0.01	0.00	0.09	0.01	0.14	0.00	0.86	0.00	1.00	1.00
уёк	0	0	7	7	1	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бозо	0	0	11	11	15	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
хабза	3	3	3	3	8	50.00	50.00	75.00	75.00	0.01	0.00	0.05	0.00	0.25	0.00	0.79	0.00	0.50	1.00
ляпки	3	3	24	24	26	11.11	11.11	13.04	13.04	0.01	0.00	0.14	0.00	0.09	0.00	0.91	0.00	1.00	1.00
шибаться	0	0	3	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
ганделик	3	3	0	0	0	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
ламбина	0	0	1	1	5	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	1.00	1.00
рипус	0	0	1	1	3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
шалабушки	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
гопа	2	2	98	98	51	2.00	2.00	2.35	2.35	0.03	0.00	0.10	0.04	0.27	0.00	0.73	0.00	1.00	1.00
забутовка	0	0	3	3	3	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
курумник	1	1	4	4	1	20.00	20.00	25.00	25.00	0.27	0.00	0.02	0.00	12.19	0.00	0.00	0.00	0.00	1.00
турлы	1	1	4	4	7	20.00	20.00	20.00	20.00	0.05	0.00	0.02	0.00	3.26	0.00	0.00	0.00	0.00	1.00
захилять	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
изнахратить	3	3	3	3	3	50.00	50.00	50.00	50.00	0.02	0.00	0.02	0.00	1.33	0.00	0.12	0.00	0.44	1.00
местовое	1	1	0	0	0	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
Зелик	6	6	32	32	19	15.79	15.79	22.22	22.22	0.03	0.00	0.06	0.01	0.54	0.00	0.46	0.00	1.00	1.00
граз	0	0	15	15	12	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
толобы	1	1	2	2	3	33.33	33.33	50.00	50.00	0.17	0.00	0.00	0.00	240.67	0.00	0.00	0.00	0.00	1.00
Ижик	2	2	3	3	3	40.00	40.00	40.00	40.00	0.03	0.00	0.02	0.00	1.60	0.00	0.00	0.00	0.00	1.00
фортан	0	0	1	1	1	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
дерибаска	0	0	3	3	3	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
Лебердон	4	4	1	1	0	80.00	80.00	80.00	80.00	0.03	0.00	0.01	0.00	5.17	0.00	0.00	0.00	0.00	1.00
жлыга	0	0	8	8	5	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
каралька	1	1	4	4	2	20.00	20.00	20.00	20.00	0.01	0.00	0.02	0.00	0.38	0.00	0.62	0.00	1.00	1.00
сорога	3	3	1	1	3	75.00	75.00	75.00	75.00	0.03	0.00	0.01	0.00	5.79	0.00	0.00	0.00	0.00	1.00
долбан	0	0	93	93	61	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.03	0.00	0.00	0.00	0.00	1.00	1.00
замного	0	0	2	2	2	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	1.00	1.00
водогрей	0	0	6	6	16	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
Светлик	3	3	1	1	3	75.00	75.00	75.00	75.00	0.05	0.00	0.01	0.00	4.33	0.00	0.00	0.00	0.00	1.00
бадлон	0	0	14	14	45	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	1.00	1.00
вербач	1	1	0	0	1	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
тырсить	0	0	7	7	1	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
лямой	0	0	12	12	4	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	1.00	1.00
оренский	1	1	0	0	1	100.00	100.00	100.00	100.00	0.02	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
альтфатер	1	1	1	1	3	50.00	50.00	50.00	50.00	0.01	0.00	0.00	0.00	2.77	0.00	0.00	0.00	0.00	1.00
багул	3	3	3	3	3	50.00	50.00	50.00	50.00	0.05	0.00	0.04	0.00	1.16	0.00	0.29	0.00	0.50	1.00
груздянка	0	0	2	2	4	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бормаш	0	0	2	2	1	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.00	1.00
чубарик	0	0	2	2	3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
чебак	4	4	5	5	10	44.44	44.44	57.14	57.14	0.02	0.00	0.01	0.00	2.32	0.00	0.10	0.00	0.33	1.00
тэшка	0	0	5	5	19	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	1.00	1.00
скобарь	0	0	11	11	28	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	1.00	1.00
тяма	1	1	0	0	1	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
стародачный	2	2	0	0	2	100.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
садоогород	2	2	1	1	1	66.67	66.67	66.67	66.67	0.03	0.00	0.01	0.00	5.76	0.00	0.00	0.00	0.00	1.00
