Лемма	positive		negative		not positive	pos fraction		pos fraction without Moscow		mean pos percentage		mean neg percentage		pos neg ratio		percentage defect		rank defect	
локер	0	0	19	19	19	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.01	0.00	0.00	0.00	0.00	1.00	1.00
дерибаска	0	0	3	3	3	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
родова	2	2	25	25	20	7.41	7.41	8.33	8.33	0.04	0.00	0.08	0.01	0.49	0.00	0.51	0.00	1.00	1.00
ламбушка	0	0	1	1	6	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
вартовский	0	0	2	2	2	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
бендёжка	1	1	0	0	0	100.00	100.00	100.00	100.00	0.01	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
кукси	0	0	23	23	19	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.20	0.00	0.00	0.00	0.00	1.00	1.00
кукса	2	2	71	71	37	2.74	2.74	3.39	3.39	0.42	0.00	0.68	0.05	0.62	0.00	0.38	0.00	1.00	1.00
залеп	0	0	1	1	2	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.00	1.00
шкрек	1	1	0	0	1	100.00	100.00	100.00	100.00	0.00	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
Светлик	3	3	1	1	3	75.00	75.00	75.00	75.00	0.12	0.00	0.02	0.00	5.17	0.00	0.00	0.00	0.00	1.00
сморода	1	1	27	27	15	3.57	3.57	3.70	3.70	0.07	0.00	0.09	0.01	0.80	0.00	0.20	0.00	1.00	1.00
Ульск	4	4	2	2	4	66.67	66.67	80.00	80.00	0.18	0.00	0.01	0.00	16.10	0.00	0.00	0.00	0.00	1.00
Старочек	1	1	0	0	0	100.00	100.00	100.00	100.00	0.02	0.00	0.00	0.00	inf	0.00	0.00	0.00	0.00	1.00
хапчик	0	0	9	9	7	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	1.00	1.00
материковский	0	0	1	1	2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00
темнушка	2	2	2	2	1	50.00	50.00	66.67	66.67	0.02	0.00	0.03	0.00	0.71	0.00	0.29	0.00	1.00	1.00
чухать	0	0	68	68	38	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.05	0.00	0.00	0.00	0.00	1.00	1.00
микраш	0	0	6	6	4	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	1.00	1.00
газвода	3	3	4	4	9	42.86	42.86	60.00	60.00	0.02	0.00	0.05	0.00	0.39	0.00	0.66	0.00	0.67	1.00
вихотка	6	6	4	4	6	60.00	60.00	85.71	85.71	0.06	0.00	0.01	0.00	10.57	0.00	0.00	0.00	0.00	1.00
араз	0	0	30	30	21	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.03	0.00	0.00	0.00	0.00	1.00	1.00
энский	2	2	14	14	10	12.50	12.50	13.33	13.33	0.03	0.00	0.11	0.00	0.25	0.00	0.75	0.00	1.00	1.00
балок	0	0	5	5	1	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	1.00	1.00
чкаться	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.00	1.00
грибовница	3	3	5	5	8	37.50	37.50	60.00	60.00	0.04	0.00	0.01	0.00	3.54	0.00	0.00	0.00	0.00	1.00
Улановка	2	2	1	1	1	66.67	66.67	66.67	66.67	0.14	0.00	0.03	0.00	4.56	0.00	0.00	0.00	0.00	1.00
заодним	4	4	3	3	8	57.14	57.14	57.14	57.14	0.02	0.00	0.01	0.00	1.79	0.00	0.13	0.00	0.22	1.00
домашники	0	0	9	9	13	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	1.00	1.00
чебак	3	3	5	5	7	37.50	37.50	50.00	50.00	0.03	0.00	0.02	0.00	1.65	0.00	0.18	0.00	0.44	1.00
